Timestamp,Dev,Status,Ax,Ay,Az,Filt,RMS,Cross,Type,Med
54:51.3,MG-001,1,-0.042,-0.187,0.902,0.377,0.923,0.008,Tremor,At Risk
54:51.3,MG-001,1,0.015,0.171,0.866,0.35,0.882,0.003,Tremor,At Risk
54:51.3,MG-001,1,-0.056,-0.178,0.977,0.403,0.994,0.01,Tremor,At Risk
54:51.3,MG-001,1,0.055,0.176,1.038,0.423,1.055,0.01,Tremor,At Risk
54:51.3,MG-001,1,-0.062,-0.224,1.03,0.439,1.056,0.014,Tremor,At Risk
54:51.3,MG-001,1,0.045,0.211,0.899,0.385,0.924,0.01,Tremor,At Risk
54:51.3,MG-001,1,-0.021,-0.165,1.006,0.397,1.02,0.003,Tremor,At Risk
54:51.3,MG-001,1,0.077,0.205,0.831,0.371,0.86,0.016,Tremor,At Risk
54:51.3,MG-001,1,-0.03,-0.17,1.057,0.419,1.071,0.005,Tremor,At Risk
54:51.4,MG-001,1,0.066,0.177,1.109,0.451,1.125,0.012,Tremor,At Risk
54:51.4,MG-001,1,-0.009,-0.203,1.009,0.407,1.029,0.002,Tremor,At Risk
54:51.4,MG-001,1,0.048,0.177,0.947,0.391,0.965,0.009,Tremor,At Risk
54:51.4,MG-001,1,-0.016,-0.202,1.116,0.445,1.134,0.003,Tremor,At Risk
54:51.4,MG-001,1,0.068,0.234,0.919,0.407,0.951,0.016,Tremor,At Risk
54:51.4,MG-001,1,-0.054,-0.178,1.161,0.464,1.175,0.01,Tremor,At Risk
54:51.4,MG-001,1,0.055,0.174,0.898,0.376,0.917,0.01,Tremor,At Risk
54:51.4,MG-001,1,-0.094,-0.183,1.102,0.46,1.121,0.017,Tremor,At Risk
54:51.4,MG-001,1,0.056,0.193,0.846,0.365,0.869,0.011,Tremor,At Risk
54:51.5,MG-001,1,-0.051,-0.174,0.962,0.396,0.979,0.009,Tremor,At Risk
54:51.5,MG-001,1,0.071,0.168,1.027,0.422,1.043,0.012,Tremor,At Risk
54:51.5,MG-001,1,-0.08,-0.172,1.047,0.433,1.064,0.014,Tremor,At Risk
54:51.5,MG-001,1,0.069,0.168,0.911,0.383,0.928,0.012,Tremor,At Risk
54:51.5,MG-001,1,-0.09,-0.201,1.107,0.466,1.129,0.018,Tremor,At Risk
54:51.5,MG-001,1,0.082,0.178,0.946,0.402,0.966,0.015,Tremor,At Risk
54:51.5,MG-001,1,-0.121,-0.174,0.838,0.378,0.865,0.021,Tremor,At Risk
54:51.5,MG-001,1,0.083,0.147,1.012,0.414,1.026,0.012,Tremor,At Risk
54:51.5,MG-001,1,-0.085,-0.175,0.833,0.364,0.856,0.015,Tremor,At Risk
54:51.5,MG-001,1,0.08,0.176,1.078,0.444,1.095,0.014,Tremor,At Risk
54:51.5,MG-001,1,-0.052,-0.199,0.891,0.381,0.914,0.01,Tremor,At Risk
54:51.6,MG-001,1,0.109,0.182,1.14,0.477,1.16,0.02,Tremor,At Risk
54:51.6,MG-001,1,-0.087,-0.185,0.953,0.408,0.975,0.016,Tremor,At Risk
54:51.6,MG-001,1,0.091,0.162,1.106,0.453,1.122,0.015,Tremor,At Risk
54:51.6,MG-001,1,-0.058,-0.205,1.161,0.475,1.18,0.012,Tremor,At Risk
54:51.6,MG-001,1,0.093,0.174,0.899,0.389,0.92,0.016,Tremor,At Risk
54:51.6,MG-001,1,-0.124,-0.202,0.92,0.415,0.95,0.025,Tremor,At Risk
54:51.6,MG-001,1,0.086,0.185,0.948,0.407,0.97,0.016,Tremor,At Risk
54:51.6,MG-001,1,-0.093,-0.175,0.922,0.397,0.943,0.016,Tremor,At Risk
54:51.6,MG-001,1,0.122,0.186,0.977,0.428,1.002,0.023,Tremor,At Risk
54:51.6,MG-001,1,-0.103,-0.177,1.028,0.436,1.048,0.018,Tremor,At Risk
54:51.7,MG-001,1,0.104,0.152,0.803,0.353,0.824,0.016,Tremor,At Risk
54:51.7,MG-001,1,-0.098,-0.164,0.984,0.416,1.002,0.016,Tremor,At Risk
54:51.7,MG-001,1,0.083,0.211,1.044,0.446,1.068,0.018,Tremor,At Risk
54:51.7,MG-001,1,-0.086,-0.186,0.843,0.372,0.867,0.016,Tremor,At Risk
54:51.7,MG-001,1,0.092,0.182,1.017,0.43,1.037,0.017,Tremor,At Risk
54:51.7,MG-001,1,-0.11,-0.169,0.903,0.394,0.925,0.019,Tremor,At Risk
54:51.7,MG-001,1,0.081,0.218,0.887,0.395,0.917,0.018,Tremor,At Risk
54:51.7,MG-001,1,-0.118,-0.149,0.95,0.406,0.969,0.018,Tremor,At Risk
54:51.7,MG-001,1,0.116,0.172,1.076,0.455,1.095,0.02,Tremor,At Risk
54:51.7,MG-001,1,-0.081,-0.192,1.022,0.432,1.043,0.016,Tremor,At Risk
54:51.8,MG-001,1,0.114,0.179,0.834,0.375,0.86,0.02,Tremor,At Risk
54:51.8,MG-001,1,-0.087,-0.184,0.959,0.41,0.98,0.016,Tremor,At Risk
54:51.8,MG-001,1,0.125,0.136,1.027,0.43,1.044,0.017,Tremor,At Risk
54:51.8,MG-001,1,-0.091,-0.158,1.008,0.419,1.024,0.014,Tremor,At Risk
54:51.8,MG-001,1,0.095,0.18,0.872,0.382,0.896,0.017,Tremor,At Risk
54:51.8,MG-001,1,-0.119,-0.211,0.991,0.44,1.02,0.025,Tremor,At Risk
54:51.8,MG-001,1,0.129,0.192,1.056,0.459,1.081,0.025,Tremor,At Risk
54:51.8,MG-001,1,-0.088,-0.155,0.851,0.364,0.869,0.014,Tremor,At Risk
54:51.8,MG-001,1,0.126,0.127,1.034,0.429,1.049,0.016,Tremor,At Risk
54:51.8,MG-001,1,-0.145,-0.183,1.015,0.447,1.041,0.026,Tremor,At Risk
54:51.9,MG-001,1,0.147,0.158,0.752,0.352,0.782,0.023,Tremor,At Risk
54:51.9,MG-001,1,-0.126,-0.136,0.933,0.399,0.951,0.017,Tremor,At Risk
54:51.9,MG-001,1,0.095,0.129,0.898,0.374,0.912,0.012,Tremor,At Risk
54:51.9,MG-001,1,-0.118,-0.153,0.873,0.381,0.894,0.018,Tremor,At Risk
54:51.9,MG-001,1,0.113,0.135,1.014,0.421,1.029,0.015,Tremor,At Risk
54:51.9,MG-001,1,-0.156,-0.167,1.04,0.454,1.064,0.026,Tremor,At Risk
54:51.9,MG-001,1,0.122,0.138,0.841,0.367,0.861,0.017,Tremor,At Risk
54:51.9,MG-001,1,-0.154,-0.154,0.976,0.428,1,0.024,Tremor,At Risk
54:51.9,MG-001,1,0.144,0.148,1.166,0.486,1.184,0.021,Tremor,At Risk
54:51.9,MG-001,1,-0.138,-0.155,1.017,0.437,1.038,0.021,Tremor,At Risk
54:52.0,MG-001,1,0.1,0.125,0.919,0.381,0.933,0.012,Tremor,At Risk
54:52.0,MG-001,1,-0.151,-0.16,0.911,0.407,0.937,0.024,Tremor,At Risk
54:52.0,MG-001,1,0.127,0.119,1.054,0.434,1.069,0.015,Tremor,At Risk
54:52.0,MG-001,1,-0.135,-0.129,0.817,0.361,0.839,0.017,Tremor,At Risk
54:52.0,MG-001,1,0.15,0.126,1.093,0.456,1.111,0.019,Tremor,At Risk
54:52.0,MG-001,1,-0.133,-0.139,0.937,0.403,0.957,0.019,Tremor,At Risk
54:52.0,MG-001,1,0.166,0.144,0.897,0.402,0.923,0.024,Tremor,At Risk
54:52.0,MG-001,1,-0.136,-0.135,1.097,0.456,1.114,0.018,Tremor,At Risk
54:52.0,MG-001,1,0.147,0.147,1.077,0.457,1.096,0.022,Tremor,At Risk
54:52.0,MG-001,1,-0.133,-0.166,1.036,0.445,1.058,0.022,Tremor,At Risk
54:52.1,MG-001,1,0.111,0.165,0.936,0.404,0.957,0.018,Tremor,At Risk
54:52.1,MG-001,1,-0.182,-0.128,0.993,0.435,1.018,0.023,Tremor,At Risk
54:52.1,MG-001,1,0.13,0.143,0.829,0.368,0.852,0.019,Tremor,At Risk
54:52.1,MG-001,1,-0.136,-0.106,0.949,0.397,0.965,0.014,Tremor,At Risk
54:52.1,MG-001,1,0.133,0.139,0.816,0.363,0.838,0.018,Tremor,At Risk
54:52.1,MG-001,1,-0.156,-0.123,1.041,0.44,1.06,0.019,Tremor,At Risk
54:52.1,MG-001,1,0.146,0.162,0.95,0.419,0.975,0.024,Tremor,At Risk
54:52.1,MG-001,1,-0.159,-0.135,1.128,0.474,1.147,0.021,Tremor,At Risk
54:52.1,MG-001,1,0.177,0.114,1.107,0.466,1.127,0.02,Tremor,At Risk
54:52.2,MG-001,1,-0.188,-0.162,0.959,0.436,0.991,0.03,Tremor,At Risk
54:52.2,MG-001,1,0.137,0.135,1.039,0.437,1.056,0.019,Tremor,At Risk
54:52.2,MG-001,1,-0.15,-0.121,0.934,0.402,0.954,0.018,Tremor,At Risk
54:52.2,MG-001,1,0.184,0.137,1.06,0.46,1.084,0.025,Tremor,At Risk
54:52.2,MG-001,1,-0.131,-0.108,1.053,0.431,1.067,0.014,Tremor,At Risk
54:52.2,MG-001,1,0.181,0.104,1.008,0.431,1.029,0.019,Tremor,At Risk
54:52.2,MG-001,1,-0.168,-0.114,1.117,0.466,1.135,0.019,Tremor,At Risk
54:52.2,MG-001,1,0.175,0.101,0.947,0.407,0.968,0.018,Tremor,At Risk
54:52.2,MG-001,1,-0.168,-0.156,1.06,0.461,1.084,0.026,Tremor,At Risk
54:52.2,MG-001,1,0.189,0.127,0.99,0.435,1.016,0.024,Tremor,At Risk
54:52.3,MG-001,1,-0.179,-0.167,1.04,0.462,1.069,0.03,Tremor,At Risk
54:52.3,MG-001,1,0.151,0.11,0.903,0.388,0.923,0.017,Tremor,At Risk
54:52.3,MG-001,1,-0.16,-0.105,0.876,0.38,0.896,0.017,Tremor,At Risk
54:52.3,MG-001,1,0.185,0.091,1.071,0.449,1.091,0.017,Tremor,At Risk
54:52.3,MG-001,1,-0.183,-0.109,0.891,0.394,0.916,0.02,Tremor,At Risk
54:52.3,MG-001,1,0.133,0.134,1.099,0.455,1.115,0.018,Tremor,At Risk
54:52.3,MG-001,1,-0.159,-0.112,1.141,0.471,1.158,0.018,Tremor,At Risk
54:52.3,MG-001,1,0.155,0.06,0.974,0.396,0.988,0.009,Tremor,At Risk
54:52.3,MG-001,1,-0.164,-0.128,0.968,0.42,0.99,0.021,Tremor,At Risk
54:52.3,MG-001,1,0.158,0.094,1.039,0.43,1.055,0.015,Tremor,At Risk
54:52.3,MG-001,1,-0.17,-0.092,0.828,0.363,0.85,0.016,Tremor,At Risk
54:52.4,MG-001,1,0.158,0.096,0.889,0.381,0.908,0.015,Tremor,At Risk
54:52.4,MG-001,1,-0.188,-0.058,0.924,0.39,0.945,0.011,Tremor,At Risk
54:52.4,MG-001,1,0.182,0.102,1.07,0.451,1.09,0.019,Tremor,At Risk
54:52.4,MG-001,1,-0.138,-0.103,0.968,0.403,0.983,0.014,Tremor,At Risk
54:52.4,MG-001,1,0.209,0.085,0.863,0.386,0.892,0.018,Tremor,At Risk
54:52.4,MG-001,1,-0.153,-0.085,0.999,0.412,1.015,0.013,Tremor,At Risk
54:52.4,MG-001,1,0.173,0.098,0.977,0.416,0.997,0.017,Tremor,At Risk
54:52.4,MG-001,1,-0.207,-0.108,1.086,0.467,1.111,0.022,Tremor,At Risk
54:52.4,MG-001,1,0.225,0.092,0.877,0.398,0.91,0.021,Tremor,At Risk
54:52.4,MG-001,1,-0.176,-0.127,0.782,0.362,0.812,0.022,Tremor,At Risk
54:52.5,MG-001,1,0.183,0.069,0.91,0.387,0.931,0.013,Tremor,At Risk
54:52.5,MG-001,1,-0.187,-0.059,0.78,0.342,0.804,0.011,Tremor,At Risk
54:52.5,MG-001,1,0.174,0.127,0.957,0.419,0.981,0.022,Tremor,At Risk
54:52.5,MG-001,1,-0.191,-0.096,0.983,0.423,1.006,0.018,Tremor,At Risk
54:52.5,MG-001,1,0.193,0.07,1.083,0.449,1.102,0.014,Tremor,At Risk
54:52.5,MG-001,1,-0.209,-0.088,0.964,0.42,0.99,0.018,Tremor,At Risk
54:52.5,MG-001,1,0.187,0.114,0.968,0.423,0.993,0.021,Tremor,At Risk
54:52.5,MG-001,1,-0.155,-0.081,1.03,0.422,1.045,0.013,Tremor,At Risk
54:52.5,MG-001,1,0.201,0.049,0.855,0.368,0.88,0.01,Tremor,At Risk
54:52.5,MG-001,1,-0.191,-0.042,1.164,0.466,1.181,0.008,Tremor,At Risk
54:52.6,MG-001,1,0.182,0.082,0.967,0.41,0.987,0.015,Tremor,At Risk
54:52.6,MG-001,1,-0.18,-0.052,0.961,0.398,0.979,0.009,Tremor,At Risk
54:52.6,MG-001,1,0.184,0.091,0.941,0.405,0.963,0.017,Tremor,At Risk
54:52.6,MG-001,1,-0.164,-0.063,0.905,0.377,0.922,0.01,Tremor,At Risk
54:52.6,MG-001,1,0.194,0.087,1.031,0.437,1.053,0.017,Tremor,At Risk
54:52.6,MG-001,1,-0.191,-0.062,0.986,0.413,1.006,0.012,Tremor,At Risk
54:52.6,MG-001,1,0.179,0.056,0.901,0.379,0.92,0.01,Tremor,At Risk
54:52.6,MG-001,1,-0.15,-0.062,0.913,0.375,0.927,0.009,Tremor,At Risk
54:52.6,MG-001,1,0.204,0.042,1.04,0.429,1.06,0.009,Tremor,At Risk
54:52.6,MG-001,1,-0.191,-0.056,1.108,0.451,1.126,0.011,Tremor,At Risk
54:52.7,MG-001,1,0.177,0.077,0.986,0.413,1.004,0.014,Tremor,At Risk
54:52.7,MG-001,1,-0.195,-0.063,1.079,0.445,1.098,0.012,Tremor,At Risk
54:52.7,MG-001,1,0.194,0.059,1.007,0.42,1.027,0.011,Tremor,At Risk
54:52.7,MG-001,1,-0.221,-0.028,1.017,0.422,1.041,0.006,Tremor,At Risk
54:52.7,MG-001,1,0.226,0.072,0.91,0.403,0.94,0.016,Tremor,At Risk
54:52.7,MG-001,1,-0.188,-0.063,0.965,0.405,0.985,0.012,Tremor,At Risk
54:52.7,MG-001,1,0.174,0.071,0.919,0.388,0.938,0.012,Tremor,At Risk
54:52.7,MG-001,1,-0.22,-0.051,0.837,0.369,0.867,0.011,Tremor,At Risk
54:52.7,MG-001,1,0.205,0.024,0.953,0.394,0.975,0.005,Tremor,At Risk
54:52.7,MG-001,1,-0.194,-0.056,1.038,0.429,1.058,0.011,Tremor,At Risk
54:52.8,MG-001,1,0.23,0.045,1.016,0.43,1.042,0.01,Tremor,At Risk
54:52.8,MG-001,1,-0.223,-0.039,0.981,0.414,1.007,0.009,Tremor,At Risk
54:52.8,MG-001,1,0.175,0.014,0.982,0.391,0.998,0.003,Tremor,At Risk
54:52.8,MG-001,1,-0.184,-0.035,0.928,0.383,0.947,0.006,Tremor,At Risk
54:52.8,MG-001,1,0.228,-0.008,1.025,0.42,1.05,-0.002,Tremor,At Risk
54:52.8,MG-001,1,-0.193,-0.081,1.01,0.428,1.032,0.016,Tremor,At Risk
54:52.8,MG-001,1,0.186,0.056,1.123,0.455,1.14,0.01,Tremor,At Risk
54:52.8,MG-001,1,-0.212,0.022,1.114,0.449,1.134,-0.005,Tremor,At Risk
54:52.8,MG-001,1,0.215,0.044,1.138,0.466,1.159,0.009,Tremor,At Risk
54:52.8,MG-001,1,-0.193,-0.05,1.035,0.426,1.054,0.01,Tremor,At Risk
54:52.9,MG-001,1,0.195,0.02,0.974,0.396,0.993,0.004,Tremor,At Risk
54:52.9,MG-001,1,-0.197,-0.075,1.006,0.426,1.028,0.015,Tremor,At Risk
54:52.9,MG-001,1,0.188,0.044,0.871,0.368,0.893,0.008,Tremor,At Risk
54:52.9,MG-001,1,-0.196,0.007,0.905,0.369,0.926,-0.001,Tremor,At Risk
54:52.9,MG-001,1,0.208,0.051,0.986,0.415,1.009,0.011,Tremor,At Risk
54:52.9,MG-001,1,-0.169,-0.027,0.817,0.338,0.835,0.005,Tremor,At Risk
54:52.9,MG-001,1,0.209,0.002,1.035,0.416,1.056,0,Tremor,At Risk
54:52.9,MG-001,1,-0.201,-0.024,1.076,0.434,1.095,0.005,Tremor,At Risk
54:52.9,MG-001,1,0.206,0.019,0.952,0.392,0.974,0.004,Tremor,At Risk
54:52.9,MG-001,1,-0.202,-0.005,0.947,0.385,0.968,0.001,Tremor,At Risk
54:53.0,MG-001,1,0.216,0.026,1.151,0.465,1.172,0.006,Tremor,At Risk
54:53.0,MG-001,1,-0.173,0.009,1.039,0.407,1.053,-0.002,Tremor,At Risk
54:53.0,MG-001,1,0.216,0.038,0.952,0.402,0.977,0.008,Tremor,At Risk
54:53.0,MG-001,1,-0.198,-0.029,1.132,0.453,1.15,0.006,Tremor,At Risk
54:53.0,MG-001,1,0.202,-0.002,1.054,0.419,1.073,0,Tremor,At Risk
54:53.0,MG-001,1,-0.221,-0.013,0.739,0.325,0.771,0.003,Tremor,At Risk
54:53.0,MG-001,1,0.224,0.014,0.973,0.404,0.998,0.003,Tremor,At Risk
54:53.0,MG-001,1,-0.224,-0.014,0.932,0.39,0.959,0.003,Tremor,At Risk
54:53.0,MG-001,1,0.162,-0.005,1.012,0.393,1.025,-0.001,Tremor,At Risk
54:53.0,MG-001,1,-0.2,-0.009,0.932,0.38,0.953,0.002,Tremor,At Risk
54:53.1,MG-001,1,0.191,-0.037,1.016,0.415,1.034,-0.007,Tremor,At Risk
54:53.1,MG-001,1,-0.218,0.031,0.778,0.342,0.808,-0.007,Tremor,At Risk
54:53.1,MG-001,1,0.198,-0.01,1.122,0.443,1.139,-0.002,Tremor,At Risk
54:53.1,MG-001,1,-0.239,0.032,0.98,0.417,1.01,-0.008,Tremor,At Risk
54:53.1,MG-001,1,0.181,-0.026,1.099,0.435,1.114,-0.005,Tremor,At Risk
54:53.1,MG-001,1,-0.179,-0.005,0.747,0.31,0.768,0.001,Tremor,At Risk
54:53.1,MG-001,1,0.187,-0.019,0.997,0.401,1.015,-0.003,Tremor,At Risk
54:53.1,MG-001,1,-0.236,0,1.047,0.428,1.073,0,Tremor,At Risk
54:53.1,MG-001,1,0.187,-0.022,1.047,0.418,1.063,-0.004,Tremor,At Risk
54:53.2,MG-001,1,-0.211,-0.004,0.911,0.375,0.935,0.001,Tremor,At Risk
54:53.2,MG-001,1,0.203,-0.016,1.061,0.426,1.08,-0.003,Tremor,At Risk
54:53.2,MG-001,1,-0.206,0.012,1.147,0.455,1.166,-0.003,Tremor,At Risk
54:53.2,MG-001,1,0.202,-0.039,0.914,0.385,0.937,-0.008,Tremor,At Risk
54:53.2,MG-001,1,-0.2,0.03,1.032,0.42,1.052,-0.006,Tremor,At Risk
54:53.2,MG-001,1,0.198,-0.011,1.019,0.41,1.038,-0.002,Tremor,At Risk
54:53.2,MG-001,1,-0.221,0.034,0.808,0.354,0.839,-0.008,Tremor,At Risk
54:53.2,MG-001,1,0.22,-0.055,0.982,0.419,1.007,-0.012,Tremor,At Risk
54:53.2,MG-001,1,-0.194,0.03,0.987,0.404,1.007,-0.006,Tremor,At Risk
54:53.2,MG-001,1,0.179,-0.054,0.784,0.339,0.806,-0.01,Tremor,At Risk
54:53.2,MG-001,1,-0.172,0.02,0.911,0.368,0.927,-0.004,Tremor,At Risk
54:53.3,MG-001,1,0.193,-0.005,0.981,0.393,1,-0.001,Tremor,At Risk
54:53.3,MG-001,1,-0.19,0.014,1.202,0.469,1.217,-0.003,Tremor,At Risk
54:53.3,MG-001,1,0.219,-0.047,1.074,0.447,1.098,-0.01,Tremor,At Risk
54:53.3,MG-001,1,-0.174,0.057,0.879,0.37,0.897,-0.01,Tremor,At Risk
54:53.3,MG-001,1,0.186,-0.059,0.964,0.403,0.984,-0.011,Tremor,At Risk
54:53.3,MG-001,1,-0.188,0.058,0.996,0.414,1.016,-0.011,Tremor,At Risk
54:53.3,MG-001,1,0.187,-0.025,0.997,0.403,1.014,-0.005,Tremor,At Risk
54:53.3,MG-001,1,-0.179,0.03,0.83,0.346,0.85,-0.005,Tremor,At Risk
54:53.3,MG-001,1,0.196,-0.026,0.949,0.39,0.97,-0.005,Tremor,At Risk
54:53.3,MG-001,1,-0.187,0.051,0.988,0.409,1.006,-0.01,Tremor,At Risk
54:53.4,MG-001,1,0.232,-0.058,1.012,0.434,1.04,-0.013,Tremor,At Risk
54:53.4,MG-001,1,-0.19,0.032,1.062,0.428,1.08,-0.006,Tremor,At Risk
54:53.4,MG-001,1,0.185,-0.08,1.102,0.456,1.12,-0.015,Tremor,At Risk
54:53.4,MG-001,1,-0.183,0.026,0.916,0.375,0.934,-0.005,Tremor,At Risk
54:53.4,MG-001,1,0.181,-0.053,0.978,0.404,0.996,-0.01,Tremor,At Risk
54:53.4,MG-001,1,-0.217,0.052,0.915,0.395,0.942,-0.011,Tremor,At Risk
54:53.4,MG-001,1,0.192,-0.04,1.043,0.425,1.061,-0.008,Tremor,At Risk
54:53.4,MG-001,1,-0.207,0.067,0.91,0.395,0.936,-0.014,Tremor,At Risk
54:53.4,MG-001,1,0.171,-0.053,0.788,0.338,0.808,-0.009,Tremor,At Risk
54:53.4,MG-001,1,-0.215,0.048,1.043,0.435,1.066,-0.01,Tremor,At Risk
54:53.5,MG-001,1,0.159,-0.062,0.824,0.348,0.842,-0.01,Tremor,At Risk
54:53.5,MG-001,1,-0.195,0.075,0.974,0.415,0.996,-0.015,Tremor,At Risk
54:53.5,MG-001,1,0.174,-0.05,0.841,0.355,0.86,-0.009,Tremor,At Risk
54:53.5,MG-001,1,-0.184,0.057,1.081,0.441,1.098,-0.011,Tremor,At Risk
54:53.5,MG-001,1,0.192,-0.083,1.03,0.435,1.051,-0.016,Tremor,At Risk
54:53.5,MG-001,1,-0.178,0.053,1.09,0.44,1.106,-0.009,Tremor,At Risk
54:53.5,MG-001,1,0.167,-0.077,1.001,0.415,1.017,-0.013,Tremor,At Risk
54:53.5,MG-001,1,-0.206,0.061,1.054,0.44,1.075,-0.012,Tremor,At Risk
54:53.5,MG-001,1,0.195,-0.084,0.971,0.417,0.994,-0.016,Tremor,At Risk
54:53.6,MG-001,1,-0.177,0.094,1.046,0.439,1.065,-0.017,Tremor,At Risk
54:53.6,MG-001,1,0.18,-0.042,1.077,0.433,1.093,-0.007,Tremor,At Risk
54:53.6,MG-001,1,-0.191,0.083,0.913,0.396,0.936,-0.016,Tremor,At Risk
54:53.6,MG-001,1,0.129,-0.098,0.897,0.374,0.911,-0.013,Tremor,At Risk
54:53.6,MG-001,1,-0.177,0.069,0.953,0.4,0.971,-0.012,Tremor,At Risk
54:53.6,MG-001,1,0.209,-0.091,1.067,0.456,1.091,-0.019,Tremor,At Risk
54:53.6,MG-001,1,-0.183,0.086,0.899,0.389,0.921,-0.016,Tremor,At Risk
54:53.6,MG-001,1,0.171,-0.085,0.965,0.407,0.984,-0.015,Tremor,At Risk
54:53.6,MG-001,1,-0.178,0.125,0.891,0.398,0.917,-0.022,Tremor,At Risk
54:53.6,MG-001,1,0.199,-0.072,0.976,0.416,0.999,-0.014,Tremor,At Risk
54:53.6,MG-001,1,-0.175,0.08,1.043,0.433,1.061,-0.014,Tremor,At Risk
54:53.7,MG-001,1,0.182,-0.105,1.006,0.431,1.027,-0.019,Tremor,At Risk
54:53.7,MG-001,1,-0.177,0.068,1.067,0.437,1.084,-0.012,Tremor,At Risk
54:53.7,MG-001,1,0.161,-0.089,0.971,0.407,0.988,-0.014,Tremor,At Risk
54:53.7,MG-001,1,-0.193,0.037,0.943,0.391,0.963,-0.007,Tremor,At Risk
54:53.7,MG-001,1,0.172,-0.078,1.075,0.442,1.091,-0.013,Tremor,At Risk
54:53.7,MG-001,1,-0.163,0.089,1.212,0.488,1.226,-0.014,Tremor,At Risk
54:53.7,MG-001,1,0.173,-0.107,1.059,0.447,1.079,-0.019,Tremor,At Risk
54:53.7,MG-001,1,-0.165,0.073,0.977,0.405,0.993,-0.012,Tremor,At Risk
54:53.7,MG-001,1,0.171,-0.088,0.81,0.356,0.832,-0.015,Tremor,At Risk
54:53.7,MG-001,1,-0.138,0.109,0.987,0.411,1.002,-0.015,Tremor,At Risk
54:53.8,MG-001,1,0.161,-0.107,1.192,0.487,1.208,-0.017,Tremor,At Risk
54:53.8,MG-001,1,-0.138,0.093,0.857,0.363,0.873,-0.013,Tremor,At Risk
54:53.8,MG-001,1,0.153,-0.134,0.927,0.405,0.949,-0.021,Tremor,At Risk
54:53.8,MG-001,1,-0.195,0.13,0.955,0.427,0.983,-0.025,Tremor,At Risk
54:53.8,MG-001,1,0.208,-0.109,0.917,0.411,0.947,-0.023,Tremor,At Risk
54:53.8,MG-001,1,-0.209,0.134,1.121,0.488,1.149,-0.028,Tremor,At Risk
54:53.8,MG-001,1,0.18,-0.122,1.049,0.451,1.072,-0.022,Tremor,At Risk
54:53.8,MG-001,1,-0.179,0.105,0.953,0.412,0.975,-0.019,Tremor,At Risk
54:53.8,MG-001,1,0.143,-0.104,0.801,0.349,0.821,-0.015,Tremor,At Risk
54:53.8,MG-001,1,-0.179,0.119,0.974,0.424,0.998,-0.021,Tremor,At Risk
54:53.9,MG-001,1,0.165,-0.126,0.927,0.406,0.95,-0.021,Tremor,At Risk
54:53.9,MG-001,1,-0.167,0.147,1.01,0.441,1.034,-0.025,Tremor,At Risk
